"Path","Name","Type","Mode","Label","Default Value"
"cds/exposure/granular/eo_ae_other/show_row","show_row","bool","output","Other (Please Specify)","n/a"
"cds/exposure/granular/eo_ae_other","eo_ae_other","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_lawyer_civil_litigation/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_lawyer_civil_litigation/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_lawyer_civil_litigation/show_row","show_row","bool","output","Civil Litigation","n/a"
"cds/exposure/granular/eo_lawyer_civil_litigation","eo_lawyer_civil_litigation","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_lawyer_consultancy/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_lawyer_consultancy/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_lawyer_consultancy/show_row","show_row","bool","output","Consultancy","n/a"
"cds/exposure/granular/eo_lawyer_consultancy","eo_lawyer_consultancy","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_lawyer_conveyance/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_lawyer_conveyance/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_lawyer_conveyance/show_row","show_row","bool","output","Conveyance","n/a"
"cds/exposure/granular/eo_lawyer_conveyance","eo_lawyer_conveyance","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_lawyer_corporate_finance/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_lawyer_corporate_finance/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_lawyer_corporate_finance/show_row","show_row","bool","output","Corporate Finance (Mergers, Acquisitions etc)","n/a"
"cds/exposure/granular/eo_lawyer_corporate_finance","eo_lawyer_corporate_finance","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_lawyer_criminal_litigation/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_lawyer_criminal_litigation/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_lawyer_criminal_litigation/show_row","show_row","bool","output","Criminal Litigation","n/a"
"cds/exposure/granular/eo_lawyer_criminal_litigation","eo_lawyer_criminal_litigation","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_lawyer_employment/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_lawyer_employment/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_lawyer_employment/show_row","show_row","bool","output","Employment","n/a"
"cds/exposure/granular/eo_lawyer_employment","eo_lawyer_employment","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_lawyer_estate_planning_probate/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_lawyer_estate_planning_probate/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_lawyer_estate_planning_probate/show_row","show_row","bool","output","Estate Planning/Probate","n/a"
"cds/exposure/granular/eo_lawyer_estate_planning_probate","eo_lawyer_estate_planning_probate","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_lawyer_family_law/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_lawyer_family_law/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_lawyer_family_law/show_row","show_row","bool","output","Family Law","n/a"
"cds/exposure/granular/eo_lawyer_family_law","eo_lawyer_family_law","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_lawyer_financial_institutions/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_lawyer_financial_institutions/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_lawyer_financial_institutions/show_row","show_row","bool","output","Financial Institutions","n/a"
"cds/exposure/granular/eo_lawyer_financial_institutions","eo_lawyer_financial_institutions","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_lawyer_formation_administration_of_companies/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_lawyer_formation_administration_of_companies/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_lawyer_formation_administration_of_companies/show_row","show_row","bool","output","Formation/Administration of Companies","n/a"
"cds/exposure/granular/eo_lawyer_formation_administration_of_companies","eo_lawyer_formation_administration_of_companies","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_lawyer_formation_administration_of_trusts/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_lawyer_formation_administration_of_trusts/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_lawyer_formation_administration_of_trusts/show_row","show_row","bool","output","Formation/Administration of Trusts","n/a"
"cds/exposure/granular/eo_lawyer_formation_administration_of_trusts","eo_lawyer_formation_administration_of_trusts","structure","n/a","n/a","n/a"
"cds/exposure/granular/eo_lawyer_general_commercial/input_pct","input_pct","float","input","Percentage of Fees (%)","0"
"cds/exposure/granular/eo_lawyer_general_commercial/relativity","relativity","float","output","Relativity","n/a"
"cds/exposure/granular/eo_lawyer_general_commercial/show_row","show_row","bool","output","General Commercial","n/a"
