curve,LimitLow,LimitHigh,Ilf
CAL - 5 All Other Risks (Group 1),30000000,40000000,2.83108384
CAL - 5 All Other Risks (Group 1),40000000,50000000,2.941586795
CAL - 5 All Other Risks (Group 1),50000000,75000000,3.020299805
CAL - 5 All Other Risks (Group 1),75000000,100000000,3.218586052
CAL - 5 All Other Risks (Group 1),100000000,150000000,3.367117944
CAL - 5 All Other Risks (Group 1),150000000,200000000,3.588173212
CAL - 5 All Other Risks (Group 1),200000000,300000000,3.753760878
CAL - 1 Light And Medium Trucks (Group 2),0,100000,1
CAL - 1 Light And Medium Trucks (Group 2),100000,250000,1.23
CAL - 1 Light And Medium Trucks (Group 2),250000,500000,1.43
CAL - 1 Light And Medium Trucks (Group 2),500000,750000,1.56
CAL - 1 Light And Medium Trucks (Group 2),750000,1000000,1.66
CAL - 1 Light And Medium Trucks (Group 2),1000000,2000000,1.9
CAL - 1 Light And Medium Trucks (Group 2),2000000,2500000,1.98
CAL - 1 Light And Medium Trucks (Group 2),2500000,3000000,2.06
CAL - 1 Light And Medium Trucks (Group 2),3000000,4000000,2.192921376
CAL - 1 Light And Medium Trucks (Group 2),4000000,5000000,2.28
CAL - 1 Light And Medium Trucks (Group 2),5000000,7500000,2.49
CAL - 1 Light And Medium Trucks (Group 2),7500000,10000000,2.66
CAL - 1 Light And Medium Trucks (Group 2),10000000,15000000,2.890853035
CAL - 1 Light And Medium Trucks (Group 2),15000000,20000000,3.070045627
CAL - 1 Light And Medium Trucks (Group 2),20000000,30000000,3.341621327
CAL - 1 Light And Medium Trucks (Group 2),30000000,40000000,3.54875527
CAL - 1 Light And Medium Trucks (Group 2),40000000,50000000,3.718222533
CAL - 1 Light And Medium Trucks (Group 2),50000000,75000000,3.840865705
CAL - 1 Light And Medium Trucks (Group 2),75000000,100000000,4.15045569
CAL - 1 Light And Medium Trucks (Group 2),100000000,150000000,4.385131856
CAL - 1 Light And Medium Trucks (Group 2),150000000,200000000,4.73859199
CAL - 1 Light And Medium Trucks (Group 2),200000000,300000000,5.006522714
CAL - 2 Heavy Trucks And Trucktractors (Group 2),0,100000,1
CAL - 2 Heavy Trucks And Trucktractors (Group 2),100000,250000,1.28
CAL - 2 Heavy Trucks And Trucktractors (Group 2),250000,500000,1.54
CAL - 2 Heavy Trucks And Trucktractors (Group 2),500000,750000,1.71
CAL - 2 Heavy Trucks And Trucktractors (Group 2),750000,1000000,1.85
CAL - 2 Heavy Trucks And Trucktractors (Group 2),1000000,2000000,2.18
CAL - 2 Heavy Trucks And Trucktractors (Group 2),2000000,2500000,2.3
CAL - 2 Heavy Trucks And Trucktractors (Group 2),2500000,3000000,2.39
CAL - 2 Heavy Trucks And Trucktractors (Group 2),3000000,4000000,2.569429397
CAL - 2 Heavy Trucks And Trucktractors (Group 2),4000000,5000000,2.69
CAL - 2 Heavy Trucks And Trucktractors (Group 2),5000000,7500000,2.97
CAL - 2 Heavy Trucks And Trucktractors (Group 2),7500000,10000000,3.21
CAL - 2 Heavy Trucks And Trucktractors (Group 2),10000000,15000000,3.57611094
CAL - 2 Heavy Trucks And Trucktractors (Group 2),15000000,20000000,3.842909317
CAL - 2 Heavy Trucks And Trucktractors (Group 2),20000000,30000000,4.253077964
CAL - 2 Heavy Trucks And Trucktractors (Group 2),30000000,40000000,4.570381963
CAL - 2 Heavy Trucks And Trucktractors (Group 2),40000000,50000000,4.832715436
CAL - 2 Heavy Trucks And Trucktractors (Group 2),50000000,75000000,5.021176094
CAL - 2 Heavy Trucks And Trucktractors (Group 2),75000000,100000000,5.508484845
CAL - 2 Heavy Trucks And Trucktractors (Group 2),100000000,150000000,5.882656114
CAL - 2 Heavy Trucks And Trucktractors (Group 2),150000000,200000000,6.453572121
CAL - 2 Heavy Trucks And Trucktractors (Group 2),200000000,300000000,6.89193972
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 2),0,100000,1
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 2),100000,250000,1.31
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 2),250000,500000,1.62
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 2),500000,750000,1.85
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 2),750000,1000000,2.02
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 2),1000000,2000000,2.48
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 2),2000000,2500000,2.64
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 2),2500000,3000000,2.76
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 2),3000000,4000000,2.97897557
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 2),4000000,5000000,3.16
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 2),5000000,7500000,3.52
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 2),7500000,10000000,3.82
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 2),10000000,15000000,4.381177153
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 2),15000000,20000000,4.764887241
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 2),20000000,30000000,5.363430624
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 2),30000000,40000000,5.833167949
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 2),40000000,50000000,6.225675218
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 2),50000000,75000000,6.523788436
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 2),75000000,100000000,7.271263954
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 2),100000000,150000000,7.852989499
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 2),150000000,200000000,8.752760766
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 2),200000000,300000000,9.453011033
CAL - 4 Zone Rated Risks (Group 2),0,100000,1
CAL - 4 Zone Rated Risks (Group 2),100000,250000,1.32
CAL - 4 Zone Rated Risks (Group 2),250000,500000,1.64
CAL - 4 Zone Rated Risks (Group 2),500000,750000,1.86
CAL - 4 Zone Rated Risks (Group 2),750000,1000000,2.02
CAL - 4 Zone Rated Risks (Group 2),1000000,2000000,2.41
CAL - 4 Zone Rated Risks (Group 2),2000000,2500000,2.54
CAL - 4 Zone Rated Risks (Group 2),2500000,3000000,2.66
CAL - 4 Zone Rated Risks (Group 2),3000000,4000000,2.8679283
CAL - 4 Zone Rated Risks (Group 2),4000000,5000000,3.01
CAL - 4 Zone Rated Risks (Group 2),5000000,7500000,3.34
CAL - 4 Zone Rated Risks (Group 2),7500000,10000000,3.62
CAL - 4 Zone Rated Risks (Group 2),10000000,15000000,4.127876497
CAL - 4 Zone Rated Risks (Group 2),15000000,20000000,4.468380018
CAL - 4 Zone Rated Risks (Group 2),20000000,30000000,4.99651467
CAL - 4 Zone Rated Risks (Group 2),30000000,40000000,5.408671099
CAL - 4 Zone Rated Risks (Group 2),40000000,50000000,5.75163663
CAL - 4 Zone Rated Risks (Group 2),50000000,75000000,5.985050117
CAL - 4 Zone Rated Risks (Group 2),75000000,100000000,6.624839169
CAL - 4 Zone Rated Risks (Group 2),100000000,150000000,7.119838503
CAL - 4 Zone Rated Risks (Group 2),150000000,200000000,7.880934006
CAL - 4 Zone Rated Risks (Group 2),200000000,300000000,8.469787105
CAL - 5 All Other Risks (Group 2),0,100000,1
CAL - 5 All Other Risks (Group 2),100000,250000,1.25
CAL - 5 All Other Risks (Group 2),250000,500000,1.46
CAL - 5 All Other Risks (Group 2),500000,750000,1.59
CAL - 5 All Other Risks (Group 2),750000,1000000,1.68
CAL - 5 All Other Risks (Group 2),1000000,2000000,1.92
CAL - 5 All Other Risks (Group 2),2000000,2500000,2
CAL - 5 All Other Risks (Group 2),2500000,3000000,2.07
CAL - 5 All Other Risks (Group 2),3000000,4000000,2.216333904
CAL - 5 All Other Risks (Group 2),4000000,5000000,2.3
CAL - 5 All Other Risks (Group 2),5000000,7500000,2.51
CAL - 5 All Other Risks (Group 2),7500000,10000000,2.69
CAL - 5 All Other Risks (Group 2),10000000,15000000,2.920207818
CAL - 5 All Other Risks (Group 2),15000000,20000000,3.100871277
CAL - 5 All Other Risks (Group 2),20000000,30000000,3.374638912
CAL - 5 All Other Risks (Group 2),30000000,40000000,3.583416499
CAL - 5 All Other Risks (Group 2),40000000,50000000,3.7542115
CAL - 5 All Other Risks (Group 2),50000000,75000000,3.868123529
CAL - 5 All Other Risks (Group 2),75000000,100000000,4.177319291
CAL - 5 All Other Risks (Group 2),100000000,150000000,4.411572888
CAL - 5 All Other Risks (Group 2),150000000,200000000,4.764208895
CAL - 5 All Other Risks (Group 2),200000000,300000000,5.03137379
CAL - 1 Light And Medium Trucks (Group 3),0,100000,1
CAL - 1 Light And Medium Trucks (Group 3),100000,250000,1.3
CAL - 1 Light And Medium Trucks (Group 3),250000,500000,1.58
CAL - 1 Light And Medium Trucks (Group 3),500000,750000,1.77
CAL - 1 Light And Medium Trucks (Group 3),750000,1000000,1.9
CAL - 1 Light And Medium Trucks (Group 3),1000000,2000000,2.25
CAL - 1 Light And Medium Trucks (Group 3),2000000,2500000,2.37
CAL - 1 Light And Medium Trucks (Group 3),2500000,3000000,2.47
CAL - 1 Light And Medium Trucks (Group 3),3000000,4000000,2.6546645
CAL - 1 Light And Medium Trucks (Group 3),4000000,5000000,2.78
CAL - 1 Light And Medium Trucks (Group 3),5000000,7500000,3.07
CAL - 1 Light And Medium Trucks (Group 3),7500000,10000000,3.31
CAL - 1 Light And Medium Trucks (Group 3),10000000,15000000,3.723181342
CAL - 1 Light And Medium Trucks (Group 3),15000000,20000000,4.00763515
CAL - 1 Light And Medium Trucks (Group 3),20000000,30000000,4.445831322
CAL - 1 Light And Medium Trucks (Group 3),30000000,40000000,4.785496122
CAL - 1 Light And Medium Trucks (Group 3),40000000,50000000,5.066731846
CAL - 1 Light And Medium Trucks (Group 3),50000000,75000000,5.258466638
CAL - 1 Light And Medium Trucks (Group 3),75000000,100000000,5.778958541
CAL - 1 Light And Medium Trucks (Group 3),100000000,150000000,6.17920737
CAL - 1 Light And Medium Trucks (Group 3),150000000,200000000,6.790835745
CAL - 1 Light And Medium Trucks (Group 3),200000000,300000000,7.261166868
CAL - 2 Heavy Trucks And Trucktractors (Group 3),0,100000,1
CAL - 2 Heavy Trucks And Trucktractors (Group 3),100000,250000,1.33
CAL - 2 Heavy Trucks And Trucktractors (Group 3),250000,500000,1.66
CAL - 2 Heavy Trucks And Trucktractors (Group 3),500000,750000,1.89
CAL - 2 Heavy Trucks And Trucktractors (Group 3),750000,1000000,2.06
CAL - 2 Heavy Trucks And Trucktractors (Group 3),1000000,2000000,2.5
CAL - 2 Heavy Trucks And Trucktractors (Group 3),2000000,2500000,2.65
CAL - 2 Heavy Trucks And Trucktractors (Group 3),2500000,3000000,2.79
CAL - 2 Heavy Trucks And Trucktractors (Group 3),3000000,4000000,3.047369948
CAL - 2 Heavy Trucks And Trucktractors (Group 3),4000000,5000000,3.22
CAL - 2 Heavy Trucks And Trucktractors (Group 3),5000000,7500000,3.63
CAL - 2 Heavy Trucks And Trucktractors (Group 3),7500000,10000000,3.99
CAL - 2 Heavy Trucks And Trucktractors (Group 3),10000000,15000000,4.509888987
CAL - 2 Heavy Trucks And Trucktractors (Group 3),15000000,20000000,4.911554645
CAL - 2 Heavy Trucks And Trucktractors (Group 3),20000000,30000000,5.539141148
CAL - 2 Heavy Trucks And Trucktractors (Group 3),30000000,40000000,6.032475414
CAL - 2 Heavy Trucks And Trucktractors (Group 3),40000000,50000000,6.445197055
CAL - 2 Heavy Trucks And Trucktractors (Group 3),50000000,75000000,6.750192541
CAL - 2 Heavy Trucks And Trucktractors (Group 3),75000000,100000000,7.535086635
CAL - 2 Heavy Trucks And Trucktractors (Group 3),100000000,150000000,8.146725566
CAL - 2 Heavy Trucks And Trucktractors (Group 3),150000000,200000000,9.094004735
CAL - 2 Heavy Trucks And Trucktractors (Group 3),200000000,300000000,9.832184348
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 3),0,100000,1
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 3),100000,250000,1.34
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 3),250000,500000,1.7
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 3),500000,750000,1.94
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 3),750000,1000000,2.12
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 3),1000000,2000000,2.6
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 3),2000000,2500000,2.77
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 3),2500000,3000000,2.92
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 3),3000000,4000000,3.215081203
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 3),4000000,5000000,3.4
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 3),5000000,7500000,3.88
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 3),7500000,10000000,4.3
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 3),10000000,15000000,4.858518647
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 3),15000000,20000000,5.315343975
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 3),20000000,30000000,6.03305865
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 3),30000000,40000000,6.600320855
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 3),40000000,50000000,7.076803377
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 3),50000000,75000000,7.437569519
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 3),75000000,100000000,8.352883864
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 3),100000000,150000000,9.069840446
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 3),150000000,200000000,10.18603238
CAL - 3 Extra-heavy Trucks And Trucktractors (Group 3),200000000,300000000,11.06033436
CAL - 4 Zone Rated Risks (Group 3),0,100000,1
CAL - 4 Zone Rated Risks (Group 3),100000,250000,1.32
CAL - 4 Zone Rated Risks (Group 3),250000,500000,1.64
CAL - 4 Zone Rated Risks (Group 3),500000,750000,1.86
CAL - 4 Zone Rated Risks (Group 3),750000,1000000,2.02
CAL - 4 Zone Rated Risks (Group 3),1000000,2000000,2.41
CAL - 4 Zone Rated Risks (Group 3),2000000,2500000,2.54
CAL - 4 Zone Rated Risks (Group 3),2500000,3000000,2.66
CAL - 4 Zone Rated Risks (Group 3),3000000,4000000,2.8679283
CAL - 4 Zone Rated Risks (Group 3),4000000,5000000,3.01
CAL - 4 Zone Rated Risks (Group 3),5000000,7500000,3.34
CAL - 4 Zone Rated Risks (Group 3),7500000,10000000,3.62
CAL - 4 Zone Rated Risks (Group 3),10000000,15000000,4.127876497
CAL - 4 Zone Rated Risks (Group 3),15000000,20000000,4.468380018
CAL - 4 Zone Rated Risks (Group 3),20000000,30000000,4.99651467
CAL - 4 Zone Rated Risks (Group 3),30000000,40000000,5.408671099
CAL - 4 Zone Rated Risks (Group 3),40000000,50000000,5.75163663
CAL - 4 Zone Rated Risks (Group 3),50000000,75000000,5.985050117
CAL - 4 Zone Rated Risks (Group 3),75000000,100000000,6.624839169
CAL - 4 Zone Rated Risks (Group 3),100000000,150000000,7.119838503
CAL - 4 Zone Rated Risks (Group 3),150000000,200000000,7.880934006
CAL - 4 Zone Rated Risks (Group 3),200000000,300000000,8.469787105
CAL - 5 All Other Risks (Group 3),0,100000,1
CAL - 5 All Other Risks (Group 3),100000,250000,1.28
CAL - 5 All Other Risks (Group 3),250000,500000,1.54
CAL - 5 All Other Risks (Group 3),500000,750000,1.72
CAL - 5 All Other Risks (Group 3),750000,1000000,1.85
CAL - 5 All Other Risks (Group 3),1000000,2000000,2.18
CAL - 5 All Other Risks (Group 3),2000000,2500000,2.3
CAL - 5 All Other Risks (Group 3),2500000,3000000,2.4
CAL - 5 All Other Risks (Group 3),3000000,4000000,2.607092141
CAL - 5 All Other Risks (Group 3),4000000,5000000,2.73
CAL - 5 All Other Risks (Group 3),5000000,7500000,3.05
CAL - 5 All Other Risks (Group 3),7500000,10000000,3.33
CAL - 5 All Other Risks (Group 3),10000000,15000000,3.659269896
CAL - 5 All Other Risks (Group 3),15000000,20000000,3.939499233
CAL - 5 All Other Risks (Group 3),20000000,30000000,4.371275053
CAL - 5 All Other Risks (Group 3),30000000,40000000,4.706030222
CAL - 5 All Other Risks (Group 3),40000000,50000000,4.983241889
CAL - 5 All Other Risks (Group 3),50000000,75000000,5.190841569
CAL - 5 All Other Risks (Group 3),75000000,100000000,5.709908039
CAL - 5 All Other Risks (Group 3),100000000,150000000,6.109374344
CAL - 5 All Other Risks (Group 3),150000000,200000000,6.720290962
CAL - 5 All Other Risks (Group 3),200000000,300000000,7.190443858
CAL - 1 Light And Medium Trucks (Group 4),0,100000,1
CAL - 1 Light And Medium Trucks (Group 4),100000,250000,1.38
CAL - 1 Light And Medium Trucks (Group 4),250000,500000,1.74
CAL - 1 Light And Medium Trucks (Group 4),500000,750000,1.94
CAL - 1 Light And Medium Trucks (Group 4),750000,1000000,2.09
CAL - 1 Light And Medium Trucks (Group 4),1000000,2000000,2.45
