Country,Factor,ILFBand,SideBSelectedDiscount,SideAProposed,Message,Message Adjust,EPL Factor
VANUATU,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
VENEZUALA,1.0,Low,0.05,1.0,N/a Sanction territory ,N/a Sanction territory ,0.2
VIETNAM,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
VIRGIN ISLANDA,1.0,Low,0.05,-0.5,Indemnification is permitted in most instances except for proven fraud/dishonesty,If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 80% discount.,0.2
VIRGIN ISLANDS,1.0,Low,0.05,-0.5,Indemnification is permitted in most instances except for proven fraud/dishonesty,If main risk resides in another territory/siginifcant board representation in difficult territories adjust accordingly up to +100%. If the policyholder has strong indemnification in their corporate documents underwriters can increase up to 80% discount.,0.2
WEST INDIES,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
WINDWARD ISLANDS,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
YEMEN,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
YUGOSLAVIA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
ZAIRE,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
ZAMBIA,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
ZIMBABWE,1.0,Low,0.05,0.0,This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead,"This territory has not been researched for indemnification - to be reviewed for any proposed placement and results fed back via IML Focus Group lead - first year proposed discounts no less than -25% without legal review, year 2 and beyond -35%, up to 100% load acceptable.",0.2
