SIC,Sector_Desc,InternationalIndustry,SICClass,Directors & Officers (D&O),Any One Claim (AOC),Employer Practice Liability (EPL),Corporate Legal Liability (CLL),Crime,Pension Trustee Liability (PTL)
2819,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,"INDUSTRIAL INORGANIC CHEMICALS, N.E.C.",Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2821,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,PLASTICS MATERIALS AND RESINS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2822,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,SYNTHETIC RUBBER,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2823,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,CELLULOSIC MANMADE FIBERS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2824,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,"ORGANIC FIBERS, NONCELLULOSIC",Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2841,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,SOAP AND OTHER DETERGENTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2842,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,POLISHES AND SANITATION GOODS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2843,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,SURFACE ACTIVE AGENTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2844,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,TOILET PREPARATIONS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2851,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,PAINTS AND ALLIED PRODUCTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2861,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,GUM AND WOOD CHEMICALS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2865,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,CYCLIC CRUDES AND INTERMEDIATES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2869,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,"INDUSTRIAL ORGANIC CHEMICALS, N.E.C.",Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2873,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,NITROGENOUS FERTILIZERS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2874,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,PHOSPHATIC FERTILIZERS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2875,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,"FERTILIZERS, MIXING ONLY",Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2879,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,"AGRICULTURAL CHEMICALS, N.E.C.",Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2891,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,ADHESIVES AND SEALANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2893,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,PRINTING INK,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2895,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,CARBON BLACK,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2899,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,"CHEMICAL PREPARATIONS, N.E.C.",Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2911,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,PETROLEUM REFINING,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2951,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,ASPHALT PAVING MIXTURES AND BLOCKS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2952,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,ASPHALT FELTS AND COATINGS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2992,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,LUBRICATING OILS AND GREASES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2999,MANUFACTURING (NON DURABLE) EXC APPAREL,Chemicals,"PETROLEUM ANC COAL PRODUCTS, N.E.C.",Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5169,WHOLESALE,Chemicals,"CHEMICALS & ALLIED PRODUCTS, N.E.C.",Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
5198,WHOLESALE,Chemicals,"PAINTS, VARNISHES, AND SUPPLIES",Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
7221,RETAIL SERVICES,Commercial Services & Supplies,"PHOTOGRAPHIC STUDIOS, PORTRAIT",Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Within,Outside,Within
7231,RETAIL SERVICES,Commercial Services & Supplies,BEAUTY SHOPS,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Within,Outside,Within
7241,RETAIL SERVICES,Commercial Services & Supplies,BARBER SHOPS,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Within,Outside,Within
7251,RETAIL SERVICES,Commercial Services & Supplies,SHOE REPAIR AND SHOESHINE PARLORS,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Within,Outside,Within
7261,RETAIL SERVICES,Commercial Services & Supplies,FUNERAL SERVICE AND CREMATORIES,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Within,Outside,Within
7299,RETAIL SERVICES,Commercial Services & Supplies,"MISCELLANEOUS PERSONAL SERVICES, N.E.C.",Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Within,Outside,Within
