SIC,Sector_Desc,InternationalIndustry,SICClass,Directors & Officers (D&O),Any One Claim (AOC),Employer Practice Liability (EPL),Corporate Legal Liability (CLL),Crime,Pension Trustee Liability (PTL)
8231,VARIOUS SERVICES,Education - Other,LIBRARIES,Within,Outside,Outside,Check Health and Safety,Outside,Within
8243,VARIOUS SERVICES,Education - Other,DATA PROCESSING SCHOOLS,Within,Outside,Outside,Check Health and Safety,Outside,Within
8244,VARIOUS SERVICES,Education - Other,BUSINESS AND SECRETARIAL SCHOOLS,Within,Outside,Outside,Check Health and Safety,Outside,Within
8249,VARIOUS SERVICES,Education - Other,"VOCATIONAL SCHOOLS, N.E.C.",Within,Outside,Outside,Check Health and Safety,Outside,Within
8221,VARIOUS SERVICES,Education - Post Secondary,COLLEGES AND UNIVERSITIES,Within,Outside,Outside,Check Health and Safety,Outside,Within
8222,VARIOUS SERVICES,Education - Post Secondary,JUNIOR COLLEGES,Within,Outside,Outside,Check Health and Safety,Outside,Within
3571,MANUFACTURING (DURABLE),Electrical Equipment,ELECTRONIC COMPUTERS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3572,MANUFACTURING (DURABLE),Electrical Equipment,COMPUTER STORAGE DEVICES,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3575,MANUFACTURING (DURABLE),Electrical Equipment,COMPUTER TERMINALS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3577,MANUFACTURING (DURABLE),Electrical Equipment,"COMPUTER PERIPHERAL EQUIPMENT, N.E.C.",Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3578,MANUFACTURING (DURABLE),Electrical Equipment,CALCULATING AND ACCOUNTING EQUIPMENT,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3579,MANUFACTURING (DURABLE),Electrical Equipment,"OFFICE MACHINES, N.E.C.",Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3643,MANUFACTURING (DURABLE),Electrical Equipment,CURRENT-CARRYING WIRING DEVICES,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3644,MANUFACTURING (DURABLE),Electrical Equipment,NONCURRENT-CARRYING WIRING DEVICES,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3646,MANUFACTURING (DURABLE),Electrical Equipment,COMMERCIAL LIGHTING FIXTURES,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3647,MANUFACTURING (DURABLE),Electrical Equipment,VEHICULAR LIGHTING EQUIPMENT,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3648,MANUFACTURING (DURABLE),Electrical Equipment,"LIGHTING EQUIPMENT, N.E.C.",Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3652,MANUFACTURING (DURABLE),Electrical Equipment,PRERECORDED RECORDS AND TAPES,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3671,MANUFACTURING (DURABLE),Electrical Equipment,ELECTRON TUBES,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3675,MANUFACTURING (DURABLE),Electrical Equipment,ELECTRONIC CAPACITORS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3676,MANUFACTURING (DURABLE),Electrical Equipment,ELECTRONIC RESISTORS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3677,MANUFACTURING (DURABLE),Electrical Equipment,ELECTRONIC COILS AND TRANSFORMERS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3678,MANUFACTURING (DURABLE),Electrical Equipment,ELECTRONIC CONNECTORS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3679,MANUFACTURING (DURABLE),Electrical Equipment,"ELECTRONIC COMPONENTS, N.E.C.",Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3691,MANUFACTURING (DURABLE),Electrical Equipment,STORAGE BATTERIES,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3692,MANUFACTURING (DURABLE),Electrical Equipment,"PRIMARY BATTERIES, DRY AND WET",Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3694,MANUFACTURING (DURABLE),Electrical Equipment,ENGINE ELECTRICAL EQUIPMENT,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3695,MANUFACTURING (DURABLE),Electrical Equipment,MAGNETIC AND OPTICAL RECORDING MEDIA,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3699,MANUFACTURING (DURABLE),Electrical Equipment,"ELECTRICAL EQUIPMENT & SUPPLIES, N.E.C.",Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3812,MANUFACTURING (DURABLE),Electrical Equipment,SEARCH AND NAVIGATION EQUIPMENT,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3821,MANUFACTURING (DURABLE),Electrical Equipment,LABORATORY APPARATUS AND FURNITURE,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3822,MANUFACTURING (DURABLE),Electrical Equipment,ENVIRONMENTAL CONTROLS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3823,MANUFACTURING (DURABLE),Electrical Equipment,PROCESS CONTROL INSTRUMENTS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3824,MANUFACTURING (DURABLE),Electrical Equipment,FLUID METERS AND COUNTING DEVICES,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3825,MANUFACTURING (DURABLE),Electrical Equipment,INSTRUMENTS TO MEASURE ELECTRICITY,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3826,MANUFACTURING (DURABLE),Electrical Equipment,ANALYTICAL INSTRUMENTS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3827,MANUFACTURING (DURABLE),Electrical Equipment,OPTICAL INSTRUMENTS AND LENSES,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3829,MANUFACTURING (DURABLE),Electrical Equipment,"MEASURING & CONTROLLING DEVICES, N.E.C.",Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
3861,MANUFACTURING (DURABLE),Electrical Equipment,PHOTOGRAPHIC EQUIPMENT AND SUPPLIES,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
5731,NON/DISCRETIONARY RETAIL SECTOR,Electrical Equipment,"RADIO, TV, & ELECTRONIC STORES",Within,Within (AOC CLL requires FGL refer),Check for Recession exposures and 3rd party exclusion,Within,Outside,Within
5734,NON/DISCRETIONARY RETAIL SECTOR,Electrical Equipment,COMPUTER AND SOFTWARE STORES,Within,Within (AOC CLL requires FGL refer),Check for Recession exposures and 3rd party exclusion,Within,Outside,Within
5735,NON/DISCRETIONARY RETAIL SECTOR,Electrical Equipment,RECORD AND PRERECORDED TAPE STORES,Within,Within (AOC CLL requires FGL refer),Check for Recession exposures and 3rd party exclusion,Within,Outside,Within
100,AGRICULTURE,Food Products,WHEAT,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
111,AGRICULTURE,Food Products,WHEAT,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
112,AGRICULTURE,Food Products,RICE,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
115,AGRICULTURE,Food Products,CORN,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
116,AGRICULTURE,Food Products,SOYBEANS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
119,AGRICULTURE,Food Products,"CASH GRAINS, N.E.C.",Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
131,AGRICULTURE,Food Products,COTTON,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
133,AGRICULTURE,Food Products,SUGARCANE AND SUGAR BEETS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
134,AGRICULTURE,Food Products,IRISH POTATOES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
139,AGRICULTURE,Food Products,"FIELD CROPS, EXCEPT CASH GRAINS, N.E.C.",Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
161,AGRICULTURE,Food Products,VEGETABLES AND MEONS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
171,AGRICULTURE,Food Products,BERRY CROPS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
172,AGRICULTURE,Food Products,GRAPES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
173,AGRICULTURE,Food Products,TREE NUETS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
174,AGRICULTURE,Food Products,CITRUS FRUITS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
175,AGRICULTURE,Food Products,DECIDUOUS TREE FRUITS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
179,AGRICULTURE,Food Products,"FRUITS AND TREE NUTS, N.E.C.",Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
182,AGRICULTURE,Food Products,FOOD CROPS GROWN UNDER COVER,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
191,AGRICULTURE,Food Products,"GENERAL FARMS, PRIMARILY CROP",Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
200,AGRICULTURE,Food Products,WHEAT,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
211,AGRICULTURE,Food Products,BEEF CATTLE FEEDLOTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
212,AGRICULTURE,Food Products,"BEEF CATTLE, EXCEPT FEEDLOTS",Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
213,AGRICULTURE,Food Products,HOGS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
214,AGRICULTURE,Food Products,SHEET AND GOATS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
219,AGRICULTURE,Food Products,"GENERAL LIVESTOCK, N.E.C.",Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
241,AGRICULTURE,Food Products,DAIRY FARMS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
251,AGRICULTURE,Food Products,"BROILER, FRYER, AND ROASTER CHICKENS",Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
252,AGRICULTURE,Food Products,CHICKEN EGGS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
253,AGRICULTURE,Food Products,TURKEYS AND TURKEY EGGS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
254,AGRICULTURE,Food Products,POULTRY HATCHERIES,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
259,AGRICULTURE,Food Products,"POULTRY AND EGGS, N.E.C.",Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
291,AGRICULTURE,Food Products,"GENERAL FARMS, PRIMARILY ANIMAL",Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
700,AGRICULTURE,Food Products,WHEAT,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
800,AGRICULTURE,Food Products,WHEAT,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
912,AGRICULTURE,Food Products,FINFISH,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
913,AGRICULTURE,Food Products,SHELLFIESH,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2000,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2011,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2013,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,SAUSAGES AND OTHER PREPARED MEATS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2015,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,POULTRY SLAUGHTERING AND PROCESSING,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2020,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2021,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,CREAMERY BUTTER,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2022,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,"CHEESE,NATURAL AND PROCESSED",Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2023,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,"DRY, CONDENSED, EVAPORATED PRODUCTS",Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2024,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,ICE CREAM AND FROZEN DESSERTS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2026,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,FLUID MILK,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2030,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2032,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,CANNED SPECIALTIES,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2033,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,CANNED FRUITS AND VEGETABLES,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2034,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,"DEHYDRATED FRUITS, VEGATABLES, SOUPS",Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2035,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,"PICKLES, SAUCES, AND SALAD DRESSINGS",Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2037,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,FROZEN FRUITS AND VEGETABLES,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2038,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,"FROZEN SPECIALITIES, N.E.C.",Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2040,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2041,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,FLOUR AND OTHER GRAIN MILL PRODUCTS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2043,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,CEREAL BREAKFAST FOODS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2044,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,RICE MILLING,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2045,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,PREPARED FLOUR MIXES AND DOUGHS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2046,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,WET CORN MILLING,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2047,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,DOG AND CAT FOOD,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2048,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,"PREPARED FEEDS, N.E.C.",Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2050,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2051,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,"BREAD, CAKE, AND RELATED PRODUCTS",Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2052,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,COOKIES AND CRACKERS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2053,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,"FROZEN BAKERY PRODUCTS, EXCEPT BREAD",Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2060,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2061,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,RAW CANE SUGAR,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2062,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,CANE SUGAR REFINING,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2063,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,BEET SUGAR,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2064,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,CANDY & OTHER CONFECTIONERY PRODUCTS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2066,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,CHOCOLATE AND COCOA PRODUCTS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2067,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,CHEWING GUM,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2068,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,SALTED AND ROASTED NUTS AND SEEDS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2070,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2074,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,COTTONSEED OIL MILLS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2075,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,SOYBEAN OIL MILLS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2076,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,"VEGETABLE OIL MILLS, N.E.C.",Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2077,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,ANIMAL AND MARINE FATS AND OILS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2079,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,"EDIBLE FATS AND OILS, N.E.C.",Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2080,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2083,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MALT,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2087,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,"FLAVORING EXTRACTS AND SYRUPS, N.E.C.",Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2090,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2091,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,CANNED AND CURED FISH AND SEAFOODS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2092,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,FRESH OR FROZEN PREPARED FISH,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2095,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,ROASTED COFFEE,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2096,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,POTATO CHIPS AND SIMILAR SNACKS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2097,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MANUFACTURED ICE,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2098,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MACARONI AND SPAGHETTI,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2099,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,"FOOD PREPARATIONS, N.E.C.",Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
2100,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2200,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2400,MANUFACTURING (DURABLE),Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2430,MANUFACTURING (DURABLE),Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2510,MANUFACTURING (DURABLE),Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2540,MANUFACTURING (DURABLE),Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2590,MANUFACTURING (DURABLE),Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2600,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2650,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2670,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2750,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2780,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2790,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2800,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2810,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2820,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2840,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2860,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2870,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2890,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
2990,MANUFACTURING (NON DURABLE) EXC APPAREL,Food Products,MEAT PACKING PLANTS,Within,Within (AOC CLL requires FGL refer),Within,Check Health and Safety,Outside,Within
5421,NON/DISCRETIONARY RETAIL SECTOR,Food Products,MEAT AND FISH MARKETS,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Check Health and Safety,Outside,Within
5431,NON/DISCRETIONARY RETAIL SECTOR,Food Products,FRUIT AND VEGETABLE MARKETS,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Check Health and Safety,Outside,Within
5441,NON/DISCRETIONARY RETAIL SECTOR,Food Products,"CANDY, NUT, AND CONFECTIONERY STORES",Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Within,Outside,Within
5451,NON/DISCRETIONARY RETAIL SECTOR,Food Products,DAIRY PRODUCTS STORES,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Within,Outside,Within
5461,NON/DISCRETIONARY RETAIL SECTOR,Food Products,RETAIL BAKERIES,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Within,Outside,Within
5499,NON/DISCRETIONARY RETAIL SECTOR,Food Products,MISCELLANEOUS FOOD STORES,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Within,Outside,Within
5812,NON/DISCRETIONARY RETAIL SECTOR,Food Products,EATING PLACES,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Within,Outside,Within
5813,NON/DISCRETIONARY RETAIL SECTOR,Food Products,DRINKING PLACES,Within,Within (AOC CLL requires FGL refer),Consider 3rd Party Exclusion,Within,Outside,Within
5141,WHOLESALE,Food Products,"GROCERIES, GENERAL LINE",Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
5142,WHOLESALE,Food Products,PACKAGED FROZEN FOODS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
5143,WHOLESALE,Food Products,"DAIRY PRODUCTS, EXCEPT DRIED OR CANNED",Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
5144,WHOLESALE,Food Products,POULTRY AND POULTRY PRODUCTS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
5145,WHOLESALE,Food Products,CONFECTIONERY,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
5146,WHOLESALE,Food Products,FISH AND SEAFOODS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
5147,WHOLESALE,Food Products,MEATS AND MEAT PRODUCTS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
5148,WHOLESALE,Food Products,FRESH FRUITS AND VEGETABLES,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
5149,WHOLESALE,Food Products,"GROCERIES AND RELATED PRODUCTS, N.E.C.",Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
5153,WHOLESALE,Food Products,GRAIN AND FIELD BEANS,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
5154,WHOLESALE,Food Products,LIVESTOCK,Within,Within (AOC CLL requires FGL refer),Within,Within,Outside,Within
9111,PUBLIC ADMINISTRATION,Government - Other,PUBLIC ADMINISTRATION,Outside,Outside,Outside,Outside,Outside,Outside
9121,PUBLIC ADMINISTRATION,Government - Other,PUBLIC ADMINISTRATION,Outside,Outside,Outside,Outside,Outside,Outside
