Sic Code,Sic Code2 (SIC first)
Automobiles - MOTOR VEHICLES AND CAR BODIES - 3711,0761 - Not Elsewhere Classified - AGRICULTURE
Automobiles - MOTORCYCLE DEALERS - 5571,0762 - Not Elsewhere Classified - AGRICULTURE
Automobiles - NEW AND USED CAR DEALERS - 5511,0781 - Not Elsewhere Classified - AGRICULTURE
Automobiles - PASSENGER CAR LEASING - 7515,0782 - Not Elsewhere Classified - AGRICULTURE
Automobiles - PASSENGER CAR RENTAL - 7514,0783 - Not Elsewhere Classified - AGRICULTURE
Automobiles - TIRE RETREADING AND REPAIR SHOPS - 7534,0800 - Food Products - AGRICULTURE
Automobiles - TIRES AND TUBES - 5014,0811 - Paper & Forest Products - AGRICULTURE
Automobiles - TOP & BODY REPAIR & PAINT SHOPS - 7532,0831 - Paper & Forest Products - AGRICULTURE
Automobiles - TRUCK AND BUS BODIES - 3713,0851 - Paper & Forest Products - AGRICULTURE
"Automobiles - TRUCK RENTAL AND LEASING, NO DRIVERS - 7513",0912 - Food Products - AGRICULTURE
Automobiles - TRUCK TRAILERS - 3715,0913 - Food Products - AGRICULTURE
Automobiles - USED CAR DEALERS - 5521,0919 - Not Elsewhere Classified - AGRICULTURE
Automobiles - UTILITY TRAILER RENTAL - 7519,0921 - Not Elsewhere Classified - AGRICULTURE
Banks - Commercial - ASSET-BACKED SECURITIES - 6189,0971 - Not Elsewhere Classified - AGRICULTURE
"Banks - Commercial - CENTRAL RESERVE DEPOSITORY, N.E.C. - 6019",1000 - Metals & Mining - MINING
"Banks - Commercial - COMMERCIAL BANKS, N.E.C. - 6029",1011 - Metals & Mining - MINING
"Banks - Commercial - COMMODITY CONTRACTS BROKERS, DEALERS - 6221",1021 - Metals & Mining - MINING
Banks - Commercial - FEDERAL & FEDERALLY-SPONSORED CREDIT - 6111,1031 - Metals & Mining - MINING
Banks - Commercial - FEDERAL CREDIT UNIONS - 6061,1040 - Metals & Mining - MINING
Banks - Commercial - FEDERAL RESERVE BANKS - 6011,1041 - Metals & Mining - MINING
Banks - Commercial - FEDERAL RESERVE BANKS - 6020,1044 - Metals & Mining - MINING
Banks - Commercial - FEDERAL RESERVE BANKS - 6200,1061 - Metals & Mining - MINING
Banks - Commercial - FEDERAL SAVINGS INSTITUTIONS - 6035,1081 - Metals & Mining - MINING
Banks - Commercial - FINANCE LESSORS - 6172,1090 - Metals & Mining - MINING
Banks - Commercial - FINANCE STORES - 6199,1094 - Metals & Mining - MINING
Banks - Commercial - FOREIGN BANK & BRANCHES & AGENCIES - 6081,1099 - Metals & Mining - MINING
Banks - Commercial - FOREIGN TRADE & INTERNATIONAL BANKS - 6082,1220 - Metals & Mining - MINING
Banks - Commercial - FUNCTIONS RELATED TO DEPOSIT BANKING - 6099,1221 - Metals & Mining - MINING
Banks - Commercial - INVESTMENT ADVICE - 6282,1222 - Metals & Mining - MINING
Banks - Commercial - LOAN BROKERS - 6163,1231 - Metals & Mining - MINING
Banks - Commercial - MORTGAGE BANKERS AND CORRESPONDENTS - 6162,1241 - Metals & Mining - MINING
Banks - Commercial - NATIONAL COMMERCIAL BANKS - 6021,1311 - Metals & Mining - MINING
Banks - Commercial - NONDEPOSIT TRUST FACILITIES - 6091,1321 - Metals & Mining - MINING
"Banks - Commercial - SAVINGS INSTITUTIONS, EXCEPT FEDERAL - 6036",1381 - Metals & Mining - MINING
Banks - Commercial - SECURITY AND COMMODITY EXCHANGES - 6231,1382 - Metals & Mining - MINING
"Banks - Commercial - SECURITY AND COMMODITY SERVICES, N.E.C. - 6289",1389 - Metals & Mining - MINING
Banks - Commercial - SECURITY BROKERS AND DEALERS - 6211,1400 - Metals & Mining - MINING
Banks - Commercial - STATE COMMERCIAL BANKS - 6022,1411 - Metals & Mining - MINING
Banks - Commercial - STATE CREDIT UNIONS - 6062,1422 - Metals & Mining - MINING
Banks - Thrifts & Mortgage - MISC. BUSINESS CREDIT INSTITUTIONS - 6159,1423 - Metals & Mining - MINING
Banks - Thrifts & Mortgage - PERSONAL CREDIT INSTITUTIONS - 6141,1429 - Metals & Mining - MINING
Banks - Thrifts & Mortgage - SHORT-TERM BUSINESS CREDIT - 6153,1442 - Metals & Mining - MINING
Beverages - BEER AND ALE - 5181,1446 - Metals & Mining - MINING
Beverages - BOTTLED AND CANNED SOFT DRINKGS - 2086,1455 - Metals & Mining - MINING
Beverages - DISTILLED AND BLENDED LIQUORS - 2085,1459 - Metals & Mining - MINING
Beverages - LIQUOR STORES - 5921,1474 - Metals & Mining - MINING
Beverages - MALT BEVERAGES - 2082,1475 - Metals & Mining - MINING
Beverages - WINE AND DISTILLED BEVEREAGES - 5182,1479 - Metals & Mining - MINING
"Beverages - WINES, BRANDY, AND BRANDY SPIRITS - 2084",1481 - Metals & Mining - MINING
Biotechnology - TESTING LABORATORIES - 8734,1499 - Metals & Mining - MINING
Building Products - CATALOG AND MAIL-ORDER HOUSES - 5961,1520 - Construction & Engineering - CONSTRUCTION
"Building Products - ROOFING, SIDING, & INSULATION - 5033",1521 - Construction & Engineering - CONSTRUCTION
Chemicals - ADHESIVES AND SEALANTS - 2891,1522 - Construction & Engineering - CONSTRUCTION
"Chemicals - AGRICULTURAL CHEMICALS, N.E.C. - 2879",1531 - Construction & Engineering - CONSTRUCTION
Chemicals - ALKALIES AND CHLORINE - 2812,1540 - Construction & Engineering - CONSTRUCTION
Chemicals - ASPHALT FELTS AND COATINGS - 2952,1541 - Construction & Engineering - CONSTRUCTION
Chemicals - ASPHALT PAVING MIXTURES AND BLOCKS - 2951,1542 - Construction & Engineering - CONSTRUCTION
Chemicals - CARBON BLACK - 2895,1600 - Construction & Engineering - CONSTRUCTION
Chemicals - CELLULOSIC MANMADE FIBERS - 2823,1611 - Construction & Engineering - CONSTRUCTION
"Chemicals - CHEMICAL PREPARATIONS, N.E.C. - 2899",1622 - Construction & Engineering - CONSTRUCTION
"Chemicals - CHEMICALS & ALLIED PRODUCTS, N.E.C. - 5169",1623 - Construction & Engineering - CONSTRUCTION
Chemicals - CYCLIC CRUDES AND INTERMEDIATES - 2865,1629 - Construction & Engineering - CONSTRUCTION
"Chemicals - FERTILIZERS, MIXING ONLY - 2875",1700 - Construction & Engineering - CONSTRUCTION
Chemicals - GUM AND WOOD CHEMICALS - 2861,1711 - Construction & Engineering - CONSTRUCTION
Chemicals - INDUSTRIAL GASES - 2813,1721 - Construction & Engineering - CONSTRUCTION
"Chemicals - INDUSTRIAL INORGANIC CHEMICALS, N.E.C. - 2819",1731 - Construction & Engineering - CONSTRUCTION
"Chemicals - INDUSTRIAL ORGANIC CHEMICALS, N.E.C. - 2869",1741 - Construction & Engineering - CONSTRUCTION
Chemicals - INORGANIC PIGMENTS - 2816,1742 - Construction & Engineering - CONSTRUCTION
Chemicals - LUBRICATING OILS AND GREASES - 2992,1743 - Construction & Engineering - CONSTRUCTION
Chemicals - NITROGENOUS FERTILIZERS - 2873,1751 - Construction & Engineering - CONSTRUCTION
"Chemicals - ORGANIC FIBERS, NONCELLULOSIC - 2824",1752 - Construction & Engineering - CONSTRUCTION
Chemicals - PAINTS AND ALLIED PRODUCTS - 2851,1761 - Construction & Engineering - CONSTRUCTION
"Chemicals - PAINTS, VARNISHES, AND SUPPLIES - 5198",1771 - Construction & Engineering - CONSTRUCTION
"Chemicals - PETROLEUM ANC COAL PRODUCTS, N.E.C. - 2999",1781 - Construction & Engineering - CONSTRUCTION
Chemicals - PETROLEUM REFINING - 2911,1791 - Construction & Engineering - CONSTRUCTION
Chemicals - PHOSPHATIC FERTILIZERS - 2874,1793 - Construction & Engineering - CONSTRUCTION
Chemicals - PLASTICS MATERIALS AND RESINS - 2821,1794 - Construction & Engineering - CONSTRUCTION
Chemicals - POLISHES AND SANITATION GOODS - 2842,1795 - Construction & Engineering - CONSTRUCTION
Chemicals - PRINTING INK - 2893,1796 - Construction & Engineering - CONSTRUCTION
Chemicals - SOAP AND OTHER DETERGENTS - 2841,1799 - Construction & Engineering - CONSTRUCTION
Chemicals - SURFACE ACTIVE AGENTS - 2843,2000 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Chemicals - SYNTHETIC RUBBER - 2822,2011 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Chemicals - TOILET PREPARATIONS - 2844,2013 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Commercial Services & Supplies - ADVERTISING AGENCIES - 7311,2015 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Commercial Services & Supplies - BARBER SHOPS - 7241,2020 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Commercial Services & Supplies - BEAUTY SHOPS - 7231,2021 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Commercial Services & Supplies - BUILDING MAINTENANCE SERVICES, N.E.C. - 7349",2022 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Commercial Services & Supplies - COMMERCIAL ART AND GRAPHIC DESIGN - 7336,2023 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Commercial Services & Supplies - COMMERCIAL PHOTOGRAPHY - 7335,2024 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Commercial Services & Supplies - DETECTIVE & ARMORED CAR SERVICES - 7381,2026 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Commercial Services & Supplies - DISINFECTING & PEST CONTROL SERVICES - 7342,2030 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Commercial Services & Supplies - EQUIPMENT RENTAL & LEASING, N.E.C. - 7359",2032 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Commercial Services & Supplies - FUNERAL SERVICE AND CREMATORIES - 7261,2033 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Commercial Services & Supplies - MISCELLANEOUS PERSONAL SERVICES, N.E.C. - 7299",2034 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Commercial Services & Supplies - OUTDOOR ADVERTISING SERVICES - 7312,2035 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Commercial Services & Supplies - PHOTOCOPYING & DUPLICATING SERVICES - 7334,2037 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Commercial Services & Supplies - PHOTOFINISHING LABORATORIES - 7384,2038 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Commercial Services & Supplies - PHOTOGRAPHIC EQUIPMENT AND SUPPLIES - 5043,2040 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Commercial Services & Supplies - PHOTOGRAPHIC STUDIOS, PORTRAIT - 7221",2041 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Commercial Services & Supplies - RADIO AND TELEVISION REPAIR - 7622,2043 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Commercial Services & Supplies - SECURITY SYSTEMS SERVICES - 7382,2044 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Commercial Services & Supplies - SHOE REPAIR AND SHOESHINE PARLORS - 7251,2045 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Commercial Services & Supplies - TELEPHONE INTERCONNECT SYSTEMS - 7385,2046 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - BOAT BUILDING AND REPAIRING - 3732,2047 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Construction & Engineering - BRIDGE, TUNNEL & ELEVATED HIGHWAY - 1622",2048 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - CARBON AND GRAPHITE PRODUCTS - 3624,2050 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - CARPENTRY WORK - 1751,2051 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - CONCRETE WORK - 1771,2052 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - CONVEYORS AND CONVEYING EQUIPMENT - 3535,2053 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - DIRECT SELLING ESTABLISHMENTS - 5963,2060 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - ELECTRICAL WORK - 1731,2061 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - ELEVATORS AND MOVING STAIRWAYS - 3534,2062 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - EXCAVATION WORK - 1794,2063 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - FABRICATED PIPE AND FITTINGS - 3498,2064 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Construction & Engineering - FLOOR LAYING AND FLOOR WORK, N.E.C. - 1752",2066 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - GLASS AND GLAZING WORK - 1793,2067 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - HARDWARE - 5072,2068 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - HEAVY CONSTRUCTION EQUIPMENT RENTAL - 7353,2070 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Construction & Engineering - HEAVY CONSTRUCTION, N.E.C. - 1629",2074 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - HIGHWAY AND STREET CONSTRUCTION - 1611,2075 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Construction & Engineering - HOISTS, CRANES, AND MONORAILS - 3536",2076 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - INDUSTRIAL BUILDINGS AND WAREHOUSES - 1541,2077 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - INDUSTRIAL PATTERS - 3543,2079 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - INDUSTRIAL TRUCKS AND TRACTORS - 3537,2080 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Construction & Engineering - INSTALLATION BUILDING EQUIPMENT, N.E.C. - 1796",2082 - Beverages - MANUFACTURING (NON DURABLE) EXC APPAREL
"Construction & Engineering - MANUFACTURING INDUSTRIES, N.E.C. - 3999",2083 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - MASONRY AND OTHER STONEWORK - 1741,2084 - Beverages - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - MERCHANDISING MACHINE OPERATORS - 5962,2085 - Beverages - MANUFACTURING (NON DURABLE) EXC APPAREL
"Construction & Engineering - NONRESIDENTIAL CONSTRUCTION, N.E.C. - 1542",2086 - Beverages - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - OPERATIVE BUILDERS - 1531,2087 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - PAINTING AND PAPER HANGING - 1721,2090 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Construction & Engineering - PARTITIONS AND FIXTURES, EXCEPT WOOD - 2542",2091 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Construction & Engineering - PLASTERING, DRYWALL, AND INSULATION - 1742",2092 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - PLATEMAKING SERVICES - 2796,2095 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - PLUMBING & HYDRONIC HEATING SUPPLIES - 5074,2096 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
"Construction & Engineering - PLUMBING, HEATING, AIRCONDITIONING - 1711",2097 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - PREFABRICATED WOOD BUILDINGS - 2452,2098 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - RAILROAD EQUIPMENT - 3743,2099 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - RECONSTITUTED WOOD PRODUCTS - 2493,2100 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - RELAYS AND INDUSTRIAL CONTROLS - 3625,2111 - Tobacco - MANUFACTURING (NON DURABLE) EXC APPAREL
"Construction & Engineering - RESIDENTIAL CONSTRUCTION, N.E.C. - 1522",2121 - Tobacco - MANUFACTURING (NON DURABLE) EXC APPAREL
"Construction & Engineering - ROOFING, SIDING, AND SHEET METAL WORK - 1761",2131 - Tobacco - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - SHIP BUILDING AND REPAIRING - 3731,2141 - Tobacco - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - SINGLE-FAMILY HOUSING CONSTRUCTION - 1520,2200 - Food Products - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - SINGLE-FAMILY HOUSING CONSTRUCTION - 1521,2211 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - SINGLE-FAMILY HOUSING CONSTRUCTION - 1540,2221 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - SINGLE-FAMILY HOUSING CONSTRUCTION - 1600,2231 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - SINGLE-FAMILY HOUSING CONSTRUCTION - 1700,2241 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
"Construction & Engineering - SPECIAL DIES, TOOLS, JIGS & FIXTURES - 3544",2250 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
"Construction & Engineering - SPECIAL TRADE CONTRACTORS, N.E.C. - 1799",2251 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - STRUCTURAL STEEL ERECTION - 1791,2252 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
"Construction & Engineering - TERRAZZO, TILE, MARBLE, MOSAIC WORK - 1743",2253 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
"Construction & Engineering - VALVES AND PIPE FITTINGS, N.E.C. - 3494",2254 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - WARM AIR HEATING & AIRCONDITIONING - 5075,2257 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - WATER WELL DRILLING - 1781,2258 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
"Construction & Engineering - WATER, SEEWER, AND UTILITY LINES - 1623",2259 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - WOOD PARTITIONS AND FIXTURES - 2541,2261 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction & Engineering - WRECKING AND DEMOLITION - 1795,2262 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction Materials - ABRASIVE PRODUCTS - 3291,2269 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction Materials - ASBESTOS PRODUCTS - 3292,2273 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction Materials - BRICK AND STRUCTURAL CLAY TILE - 3251,2281 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
"Construction Materials - BRICK, STONE & RELATED MATERIALS - 5032",2282 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction Materials - BYPSUM PRODUCTS - 3275,2284 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
"Construction Materials - CEMENT, HYDRAULIC - 3241",2295 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction Materials - CERAMIC WALL AND FLOOR TILE - 3253,2296 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction Materials - CLAY REFRACTORIES - 3255,2297 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
Construction Materials - CONCRETE BLOCK AND BRICK - 3271,2298 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
"Construction Materials - CONCRETE PRODUCTS, N.E.C. - 3272",2299 - Retail - Multiline - MANUFACTURING (NON DURABLE) EXC APPAREL
"Construction Materials - CONSTRUCTION MATERIALS, M.E.D. - 5039",2300 - Retail - Multiline - MANUFACTURING (NON-DURABLE) / APPAREL
Construction Materials - CUT STONE AND STONE PRODUCTS - 3281,2311 - Retail - Multiline - MANUFACTURING (NON-DURABLE) / APPAREL
Construction Materials - FLOOR COVERING STORES - 5713,2320 - Retail - Multiline - MANUFACTURING (NON-DURABLE) / APPAREL
Construction Materials - FLUID POWER VALVES & HOSE FITTINGS - 3492,2321 - Retail - Multiline - MANUFACTURING (NON-DURABLE) / APPAREL
"Construction Materials - HARD SURFACE FLOOR COVERINGS, N.E.C. - 3996",2322 - Retail - Multiline - MANUFACTURING (NON-DURABLE) / APPAREL
Construction Materials - HARDWARE STORES - 5251,2323 - Retail - Multiline - MANUFACTURING (NON-DURABLE) / APPAREL
Construction Materials - INDUSTRIAL VALVES - 3491,2325 - Retail - Multiline - MANUFACTURING (NON-DURABLE) / APPAREL
Construction Materials - LIME - 3274,2326 - Retail - Multiline - MANUFACTURING (NON-DURABLE) / APPAREL
Construction Materials - LUMBER AND OTHER BUILDING MATERIALS - 5200,2329 - Retail - Multiline - MANUFACTURING (NON-DURABLE) / APPAREL
Construction Materials - LUMBER AND OTHER BUILDING MATERIALS - 5211,2330 - Retail - Multiline - MANUFACTURING (NON-DURABLE) / APPAREL
Construction Materials - LUMBER AND OTHER BUILDING MATERIALS - 5400,2331 - Retail - Multiline - MANUFACTURING (NON-DURABLE) / APPAREL
Construction Materials - LUMBER AND OTHER BUILDING MATERIALS - 5500,2335 - Retail - Multiline - MANUFACTURING (NON-DURABLE) / APPAREL
Construction Materials - LUMBER AND OTHER BUILDING MATERIALS - 5600,2337 - Retail - Multiline - MANUFACTURING (NON-DURABLE) / APPAREL
Construction Materials - LUMBER AND OTHER BUILDING MATERIALS - 5700,2339 - Retail - Multiline - MANUFACTURING (NON-DURABLE) / APPAREL
Construction Materials - LUMBER AND OTHER BUILDING MATERIALS - 5810,2340 - Retail - Multiline - MANUFACTURING (NON-DURABLE) / APPAREL
Construction Materials - LUMBER AND OTHER BUILDING MATERIALS - 5900,2341 - Retail - Multiline - MANUFACTURING (NON-DURABLE) / APPAREL
Construction Materials - LUMBER AND OTHER BUILDING MATERIALS - 5940,2342 - Retail - Multiline - MANUFACTURING (NON-DURABLE) / APPAREL
