Mode,CDS Path,Template Excel rater named range,Add to excel
input,cds/exposure/granular/regions/regions_list/former_soviet_republics/value/revenues,DB.Exposure.RegionSplit6.Revenues,True
input,cds/exposure/granular/regions/regions_list/usa/value/assets,DB.Exposure.RegionSplit7.Assets,True
input,cds/exposure/granular/regions/regions_list/usa/value/employees,DB.Exposure.RegionSplit7.Employees,True
input,cds/exposure/granular/regions/regions_list/usa/value/revenues,DB.Exposure.RegionSplit7.Revenues,True
input,cds/exposure/granular/regions/regions_list/canada/value/assets,DB.Exposure.RegionSplit8.Assets,True
input,cds/exposure/granular/regions/regions_list/canada/value/employees,DB.Exposure.RegionSplit8.Employees,True
input,cds/exposure/granular/regions/regions_list/canada/value/revenues,DB.Exposure.RegionSplit8.Revenues,True
input,cds/exposure/granular/regions/regions_list/south_latin_america/value/assets,DB.Exposure.RegionSplit9.Assets,True
input,cds/exposure/granular/regions/regions_list/south_latin_america/value/employees,DB.Exposure.RegionSplit9.Employees,True
input,cds/exposure/granular/regions/regions_list/south_latin_america/value/revenues,DB.Exposure.RegionSplit9.Revenues,True
input,cds/exposure/granular/regions/regions_list/africa/percent/assets,DB.Exposure.RegionSplit1.Assets,True
input,cds/exposure/granular/regions/regions_list/africa/percent/employees,DB.Exposure.RegionSplit1.Employees,True
input,cds/exposure/granular/regions/regions_list/africa/percent/revenues,DB.Exposure.RegionSplit1.Revenues,True
input,cds/exposure/granular/regions/regions_list/caribbean/percent/assets,DB.Exposure.RegionSplit10.Assets,True
input,cds/exposure/granular/regions/regions_list/caribbean/percent/employees,DB.Exposure.RegionSplit10.Employees,True
input,cds/exposure/granular/regions/regions_list/caribbean/percent/revenues,DB.Exposure.RegionSplit10.Revenues,True
input,cds/exposure/granular/regions/regions_list/row/percent/assets,DB.Exposure.RegionSplit11.Assets,True
input,cds/exposure/granular/regions/regions_list/row/percent/employees,DB.Exposure.RegionSplit11.Employees,True
input,cds/exposure/granular/regions/regions_list/row/percent/revenues,DB.Exposure.RegionSplit11.Revenues,True
input,cds/exposure/granular/regions/regions_list/arab_states/percent/assets,DB.Exposure.RegionSplit2.Assets,True
input,cds/exposure/granular/regions/regions_list/arab_states/percent/employees,DB.Exposure.RegionSplit2.Employees,True
input,cds/exposure/granular/regions/regions_list/arab_states/percent/revenues,DB.Exposure.RegionSplit2.Revenues,True
input,cds/exposure/granular/regions/regions_list/asia/percent/assets,DB.Exposure.RegionSplit3.Assets,True
input,cds/exposure/granular/regions/regions_list/asia/percent/employees,DB.Exposure.RegionSplit3.Employees,True
input,cds/exposure/granular/regions/regions_list/asia/percent/revenues,DB.Exposure.RegionSplit3.Revenues,True
input,cds/exposure/granular/regions/regions_list/oceania/percent/assets,DB.Exposure.RegionSplit4.Assets,True
input,cds/exposure/granular/regions/regions_list/oceania/percent/employees,DB.Exposure.RegionSplit4.Employees,True
input,cds/exposure/granular/regions/regions_list/oceania/percent/revenues,DB.Exposure.RegionSplit4.Revenues,True
input,cds/exposure/granular/regions/regions_list/europe/percent/assets,DB.Exposure.RegionSplit5.Assets,True
input,cds/exposure/granular/regions/regions_list/europe/percent/employees,DB.Exposure.RegionSplit5.Employees,True
input,cds/exposure/granular/regions/regions_list/europe/percent/revenues,DB.Exposure.RegionSplit5.Revenues,True
input,cds/exposure/granular/regions/regions_list/former_soviet_republics/percent/assets,DB.Exposure.RegionSplit6.Assets,True
input,cds/exposure/granular/regions/regions_list/former_soviet_republics/percent/employees,DB.Exposure.RegionSplit6.Employees,True
input,cds/exposure/granular/regions/regions_list/former_soviet_republics/percent/revenues,DB.Exposure.RegionSplit6.Revenues,True
input,cds/exposure/granular/regions/regions_list/usa/percent/assets,DB.Exposure.RegionSplit7.Assets,True
input,cds/exposure/granular/regions/regions_list/usa/percent/employees,DB.Exposure.RegionSplit7.Employees,True
input,cds/exposure/granular/regions/regions_list/usa/percent/revenues,DB.Exposure.RegionSplit7.Revenues,True
input,cds/exposure/granular/regions/regions_list/canada/percent/assets,DB.Exposure.RegionSplit8.Assets,True
input,cds/exposure/granular/regions/regions_list/canada/percent/employees,DB.Exposure.RegionSplit8.Employees,True
input,cds/exposure/granular/regions/regions_list/canada/percent/revenues,DB.Exposure.RegionSplit8.Revenues,True
input,cds/exposure/granular/regions/regions_list/south_latin_america/percent/assets,DB.Exposure.RegionSplit9.Assets,True
input,cds/exposure/granular/regions/regions_list/south_latin_america/percent/employees,DB.Exposure.RegionSplit9.Employees,True
input,cds/exposure/granular/regions/regions_list/south_latin_america/percent/revenues,DB.Exposure.RegionSplit9.Revenues,True
input,cds/exposure/aggregate/total_amounts/revenues,DB.Exposure.Revenues,True
input,cds/exposure/granular/regions/splits_entered_as/revenues,DB.Exposure.Revenues.EnteredAs,True
input,cds/exposure/granular/revenue_split_admin/accountancy/amount,DB.Exposure.RevenueSplit.Accountancy,True
input,cds/exposure/granular/revenue_split_admin/other/amount,DB.Exposure.RevenueSplit.AdminOther,True
input,cds/exposure/granular/revenue_split_brokers/other/amount,DB.Exposure.RevenueSplit.BrokersOther,True
input,cds/exposure/granular/revenue_split_exchanges/clear_settlement/amount,DB.Exposure.RevenueSplit.ClearingSettlement,True
input,cds/exposure/granular/revenue_split_exchanges/depositary/amount,DB.Exposure.RevenueSplit.Depositary,True
input,cds/exposure/granular/revenue_split_admin/est_companies/amount,DB.Exposure.RevenueSplit.EstCompanies,True
input,cds/exposure/granular/revenue_split_admin/est_trusts/amount,DB.Exposure.RevenueSplit.EstTrusts,True
input,cds/exposure/granular/revenue_split_exchanges/exchange/amount,DB.Exposure.RevenueSplit.Exchange,True
input,cds/exposure/granular/revenue_split_exchanges/other/amount,DB.Exposure.RevenueSplit.ExchangesOther,True
input,cds/exposure/granular/revenue_split_investment/family_group_services/amount,DB.Exposure.RevenueSplit.FamilyGroupServices,True
input,cds/exposure/granular/revenue_split_banks/fee/amount,DB.Exposure.RevenueSplit.Fee,True
input,cds/exposure/granular/revenue_split_brokers/institutional_advisory/amount,DB.Exposure.RevenueSplit.InstitutionalAdvisory,True
input,cds/exposure/granular/revenue_split_brokers/institutional_execution/amount,DB.Exposure.RevenueSplit.InstitutionalExecution,True
input,cds/exposure/granular/revenue_split_banks/interest/amount,DB.Exposure.RevenueSplit.Interest,True
input,cds/exposure/granular/revenue_split_investment/investment_management/amount,DB.Exposure.RevenueSplit.InvestmentManagement,True
input,cds/exposure/granular/revenue_split_investment/other/amount,DB.Exposure.RevenueSplit.InvestmentManagersOther,True
input,cds/exposure/granular/revenue_split_admin/legal_advice/amount,DB.Exposure.RevenueSplit.LegalAdvice,True
input,cds/exposure/granular/revenue_split_investment/legal_advisory_services/amount,DB.Exposure.RevenueSplit.LegalAdvisoryServices,True
input,cds/exposure/granular/revenue_split_exchanges/listing/amount,DB.Exposure.RevenueSplit.Listing,True
input,cds/exposure/granular/revenue_split_banks/other/amount,DB.Exposure.RevenueSplit.Other,True
input,cds/exposure/granular/revenue_split_admin/outside_board/amount,DB.Exposure.RevenueSplit.OutsideBoard,True
input,cds/exposure/granular/revenue_split_investment/personal_services/amount,DB.Exposure.RevenueSplit.PersonalServices,True
input,cds/exposure/granular/revenue_split_brokers/retail_advisory/amount,DB.Exposure.RevenueSplit.RetailAdvisory,True
input,cds/exposure/granular/revenue_split_brokers/retail_discretionary/amount,DB.Exposure.RevenueSplit.RetailDiscretionary,True
input,cds/exposure/granular/revenue_split_brokers/retail_execution/amount,DB.Exposure.RevenueSplit.RetailExecution,True
input,cds/exposure/granular/revenue_split_admin/tax/amount,DB.Exposure.RevenueSplit.Tax,True
input,cds/exposure/granular/revenue_split_banks/trading/amount,DB.Exposure.RevenueSplit.Trading,True

input,cds/exposure/granular/revenue_split_admin/accountancy/percent,DB.Exposure.RevenueSplit.AccountancyPercent,True
input,cds/exposure/granular/revenue_split_admin/other/percent,DB.Exposure.RevenueSplit.AdminOtherPercent,True
input,cds/exposure/granular/revenue_split_brokers/other/percent,DB.Exposure.RevenueSplit.BrokersOtherPercent,True
input,cds/exposure/granular/revenue_split_exchanges/clear_settlement/percent,DB.Exposure.RevenueSplit.ClearingSettlementPercent,True
input,cds/exposure/granular/revenue_split_exchanges/depositary/percent,DB.Exposure.RevenueSplit.DepositaryPercent,True
input,cds/exposure/granular/revenue_split_admin/est_companies/percent,DB.Exposure.RevenueSplit.EstCompaniesPercent,True
input,cds/exposure/granular/revenue_split_admin/est_trusts/percent,DB.Exposure.RevenueSplit.EstTrustsPercent,True
input,cds/exposure/granular/revenue_split_exchanges/exchange/percent,DB.Exposure.RevenueSplit.ExchangePercent,True
input,cds/exposure/granular/revenue_split_exchanges/other/percent,DB.Exposure.RevenueSplit.ExchangesOtherPercent,True
input,cds/exposure/granular/revenue_split_investment/family_group_services/percent,DB.Exposure.RevenueSplit.FamilyGroupServicesPercent,True
input,cds/exposure/granular/revenue_split_banks/fee/percent,DB.Exposure.RevenueSplit.FeePercent,True
input,cds/exposure/granular/revenue_split_brokers/institutional_advisory/percent,DB.Exposure.RevenueSplit.InstitutionalAdvisoryPercent,True
input,cds/exposure/granular/revenue_split_brokers/institutional_execution/percent,DB.Exposure.RevenueSplit.InstitutionalExecutionPercent,True
input,cds/exposure/granular/revenue_split_banks/interest/percent,DB.Exposure.RevenueSplit.InterestPercent,True
input,cds/exposure/granular/revenue_split_investment/investment_management/percent,DB.Exposure.RevenueSplit.InvestmentManagementPercent,True
input,cds/exposure/granular/revenue_split_investment/other/percent,DB.Exposure.RevenueSplit.InvestmentManagersOtherPercent,True
input,cds/exposure/granular/revenue_split_admin/legal_advice/percent,DB.Exposure.RevenueSplit.LegalAdvicePercent,True
input,cds/exposure/granular/revenue_split_investment/legal_advisory_services/percent,DB.Exposure.RevenueSplit.LegalAdvisoryServicesPercent,True
input,cds/exposure/granular/revenue_split_exchanges/listing/percent,DB.Exposure.RevenueSplit.ListingPercent,True
input,cds/exposure/granular/revenue_split_banks/other/percent,DB.Exposure.RevenueSplit.OtherPercent,True
input,cds/exposure/granular/revenue_split_admin/outside_board/percent,DB.Exposure.RevenueSplit.OutsideBoardPercent,True
input,cds/exposure/granular/revenue_split_investment/personal_services/percent,DB.Exposure.RevenueSplit.PersonalServicesPercent,True
input,cds/exposure/granular/revenue_split_brokers/retail_advisory/percent,DB.Exposure.RevenueSplit.RetailAdvisoryPercent,True
input,cds/exposure/granular/revenue_split_brokers/retail_discretionary/percent,DB.Exposure.RevenueSplit.RetailDiscretionaryPercent,True
input,cds/exposure/granular/revenue_split_brokers/retail_execution/percent,DB.Exposure.RevenueSplit.RetailExecutionPercent,True
input,cds/exposure/granular/revenue_split_admin/tax/percent,DB.Exposure.RevenueSplit.TaxPercent,True
input,cds/exposure/granular/revenue_split_banks/trading/percent,DB.Exposure.RevenueSplit.TradingPercent,True

output,non_cds/exposure_details/revenue_split_admin/total/amount,DB.Exposure.RevenueSplit.Total,True
output,non_cds/exposure_details/revenue_split_banks/total/amount,DB.Exposure.RevenueSplit.TotalBanks,True
output,non_cds/exposure_details/revenue_split_admin/total/percent,DB.Exposure.RevenueSplit.TotalPercent,True
output,non_cds/exposure_details/revenue_split_banks/total/percent,DB.Exposure.RevenueSplit.TotalBanksPercent,True
output,non_cds/exposure_details/premium_split/total/amount,DB.Exposure.RevenueSplit.TotalInsurance,True
output,non_cds/exposure_details/premium_split/total/percent,DB.Exposure.RevenueSplit.TotalInsurancePercent,True
output,non_cds/exposure_details/revenue_split_brokers/total/amount,DB.Exposure.RevenueSplit.TotalBrokers,True
output,non_cds/exposure_details/revenue_split_brokers/total/percent,DB.Exposure.RevenueSplit.TotalBrokersPercent,True
output,non_cds/exposure_details/revenue_split_exchanges/total/amount,DB.Exposure.RevenueSplit.TotalFinancialInfrastructure,True
output,non_cds/exposure_details/revenue_split_exchanges/total/percent,DB.Exposure.RevenueSplit.TotalFinancialInfrastructurePercent,True
output,non_cds/exposure_details/revenue_split_investment/total/amount,DB.Exposure.RevenueSplit.TotalInvestmentManagement,True
output,non_cds/exposure_details/revenue_split_investment/total/percent,DB.Exposure.RevenueSplit.TotalInvestmentManagementPercent,True

input,cds/exposure/granular/premium_split/ripc/amount,DB.Exposure.RIpc,True
input,cds/exposure/granular/premium_split/ripc/percent,DB.Exposure.RIpcPercent,True
input,cds/rating_factors/exposure_details/short_tail_pc,DB.Exposure.ShortTailPC,True
input,cds/rating_factors/exposure_details/solvency_ratio,DB.Exposure.SolvencyRatio,True
input,cds/exposure/granular/transactions_av_fee,DB.Exposure.TransactionsAvFee,True
input,cds/exposure/granular/transactions_av_value,DB.Exposure.TransactionsAvValue,True
input,cds/rating_factors/exposure_details/currency,DB.RiskInfo.CCY,True
input,cds/rating_factors/cover_details/brokerage_all_layers/brk,DB.CoverDetails.AllLayers.BRK,True
input,cds/rating_factors/cover_details/premium_split_all_layers/crime,DB.CoverDetails.AllLayers.CrimePC,True
input,cds/rating_factors/cover_details/premium_split_all_layers/do,DB.CoverDetails.AllLayers.DOPC,True
input,cds/rating_factors/cover_details/premium_split_all_layers/eea,DB.CoverDetails.AllLayers.EEA,True
input,cds/rating_factors/cover_details/premium_split_all_layers/non_eea,DB.CoverDetails.AllLayers.EEANonEEA,True
input,cds/rating_factors/cover_details/brokerage_all_layers/lta,DB.CoverDetails.AllLayers.LTA,True
input,cds/rating_factors/cover_details/brokerage_all_layers/ncb,DB.CoverDetails.AllLayers.NCB,True
input,cds/rating_factors/cover_details/premium_split_all_layers/pi,DB.CoverDetails.AllLayers.PIPC,True
input,cds/rating_factors/cover_details/primary_layer/towers_all_manager/crime,DB.CoverDetails.C1,True
output,cds/rating_factors/cover_details/primary_layer/sir_all_manager/crime,DB.CoverDetails.c1.ret,True
input,cds/rating_factors/cover_details/primary_layer/towers_fund/crime,DB.CoverDetails.c2,True
output,cds/rating_factors/cover_details/primary_layer/sir_fund/crime,DB.CoverDetails.c2.ret,True
input,cds/risk_info/currency,DB.CoverDetails.CCY.Cover,True
input,cds/rating_factors/cover_details/primary_layer/towers_all_manager/do,DB.CoverDetails.d1,True
output,cds/rating_factors/cover_details/primary_layer/sir_all_manager/do,DB.CoverDetails.d1.ret,True
output,cds/rating_factors/cover_details/primary_layer/sir_all_manager/do_side_c,DB.CoverDetails.d1c.ret,True
input,cds/rating_factors/cover_details/primary_layer/towers_fund/do,DB.CoverDetails.d2,True
output,cds/rating_factors/cover_details/primary_layer/sir_fund/do,DB.CoverDetails.d2.ret,True
output,cds/rating_factors/cover_details/primary_layer/sir_fund/do_side_c,DB.CoverDetails.d2c.ret,True
input,cds/rating_factors/cover_details/primary_layer/do_type,DB.CoverDetails.DandoType,True
input,non_cds/cover_details/num_layers,DB.CoverDetails.Layers,True
input,cds/rating_factors/cover_details/primary_layer/towers_all_manager/pi,DB.CoverDetails.p1,True
output,cds/rating_factors/cover_details/primary_layer/sir_all_manager/pi,DB.CoverDetails.p1.ret,True
input,cds/rating_factors/cover_details/primary_layer/towers_fund/pi,DB.CoverDetails.p2,True
output,cds/rating_factors/cover_details/primary_layer/sir_fund/pi,DB.CoverDetails.p2.ret,True
input,cds/rating_factors/cover_details/details_reinstatements,DB.CoverDetails.Reinstatements,True
input,cds/rating_factors/cover_details/reinst_rtc_program_limit,DB.CoverDetails.Reinstatements.RTC.ProgramLimit,True
input,cds/rating_factors/cover_details/sublimits_req,DB.CoverDetails.SubLimitsRequired,True
input,cds/rating_factors/cover_details/crime_retroactive_date,DB.DealVersion.RetroactiveDate_Crime,True
input,cds/rating_factors/cover_details/do_retroactive_date,DB.DealVersion.RetroactiveDate_DandO,True
input,cds/rating_factors/cover_details/pi_retroactive_date,DB.DealVersion.RetroactiveDate_PI,True
input,cds/modifiers/risk_category/agents_as_employees,DB.RiskAssessment.Agentsasemployees,True
input,cds/modifiers/risk_category/claims_history_cpi,DB.RiskAssessment.ClaimsHistory,True
input,cds/modifiers/risk_category/claims_history_do,DB.RiskAssessment.ClaimsHistory.DO,True
input,cds/modifiers/comment/agents_as_employees,DB.RiskAssessment.Comments.Agentsasemployees,True
input,cds/modifiers/comment/claims_history_cpi,DB.RiskAssessment.Comments.ClaimsHistory,True
input,cds/modifiers/comment/claims_history_do,DB.RiskAssessment.Comments.ClaimsHistoryDO,True
input,cds/modifiers/comment/dando_portfolio_companies,DB.RiskAssessment.Comments.dandoPortfolioCompanies,True
input,cds/modifiers/comment/data_centre,DB.RiskAssessment.comments.datacentre,True
input,cds/modifiers/comment/difference_in_conditions,DB.RiskAssessment.Comments.DifferenceInConditions,True
input,cds/modifiers/comment/extent_of_leveraged_gearing,DB.RiskAssessment.Comments.Extentofleveragedgearing,True
input,cds/modifiers/comment/loan_covenant,DB.RiskAssessment.comments.LoanCovenant,True
input,cds/modifiers/comment/market_regulator,DB.RiskAssessment.Comments.Marketregulator,True
input,cds/modifiers/comment/policy_wording,DB.RiskAssessment.Comments.Policywording,True
input,cds/modifiers/comment/product_complexity,DB.RiskAssessment.Comments.Productcomplexity,True
input,cds/modifiers/comment/quality_of_bcp,DB.RiskAssessment.Comments.Qualityofbusinesscontinuityplan,True
input,cds/modifiers/comment/quality_of_claims_handling,DB.RiskAssessment.Comments.Qualityofclaimshandling,True
input,cds/modifiers/comment/quality_of_control,DB.RiskAssessment.Comments.Qualityofcontrols,True
input,cds/modifiers/comment/quality_of_performance_non_pevc,DB.RiskAssessment.Comments.QualityofperformanceNonPEVC,True
input,cds/modifiers/comment/technological_infrastructure,DB.RiskAssessment.Comments.QualityofTechnologicalinfrastructure,True
input,cds/modifiers/comment/redemption_gates,DB.RiskAssessment.Comments.RedemptionGates,True
input,cds/modifiers/comment/regulatory_risk,DB.RiskAssessment.Comments.Regulatoryrisk,True
input,cds/modifiers/comment/risk_management,DB.RiskAssessment.Comments.Riskmanagement,True
input,cds/modifiers/comment/strength_of_financial,DB.RiskAssessment.Comments.Strengthoffinancials,True
input,cds/modifiers/comment/tech_outsourcing,DB.RiskAssessment.comments.techoutsourcing,True
input,cds/modifiers/comment/uw_adj,DB.RiskAssessment.comments.UWAdj,True
input,cds/modifiers/comment/valuation_for_pevc,DB.RiskAssessment.Comments.valuationforPEVC,True
input,cds/modifiers/risk_category/dando_portfolio_companies,DB.RiskAssessment.dandoPortfolioCompanies,True
input,cds/modifiers/risk_category/data_centre,DB.RiskAssessment.datacentre,True
input,cds/modifiers/risk_category/extent_of_leveraged_gearing,DB.RiskAssessment.Extentofleveragedgearing,True
input,cds/modifiers/risk_category/loan_covenant,DB.RiskAssessment.LoanCovenant,True
input,cds/modifiers/risk_category/market_regulator,DB.RiskAssessment.Marketregulator,True
input,cds/modifiers/risk_category/policy_wording,DB.RiskAssessment.Policywording,True
input,cds/modifiers/risk_category/product_complexity,DB.RiskAssessment.Productcomplexity,True
input,cds/modifiers/risk_category/quality_of_bcp,DB.RiskAssessment.Qualityofbusinesscontinuityplan,True
input,cds/modifiers/risk_category/quality_of_claims_handling,DB.RiskAssessment.Qualityofclaimshandling,True
input,cds/modifiers/risk_category/quality_of_control,DB.RiskAssessment.Qualityofcontrols,True
input,cds/modifiers/risk_category/quality_of_performance_non_pevc,DB.RiskAssessment.QualityofperformanceNonPEVC,True
input,cds/modifiers/risk_category/technological_infrastructure,DB.RiskAssessment.QualityofTechnologicalinfrastructure,True
input,cds/modifiers/risk_category/redemption_gates,DB.RiskAssessment.RedemptionGates,True
input,cds/modifiers/risk_category/regulatory_risk,DB.RiskAssessment.Regulatoryrisk,True
input,cds/modifiers/risk_category/risk_management,DB.RiskAssessment.Riskmanagement,True
input,cds/modifiers/risk_category/difference_in_conditions,DB.RiskAssessment.SideADiffConditions,True
input,cds/modifiers/risk_category/strength_of_financial,DB.RiskAssessment.Strengthoffinancials,True
input,cds/modifiers/risk_category/tech_outsourcing,DB.RiskAssessment.techoutsourcing,True
input,cds/modifiers/risk_category/uw_adj,DB.RiskAssessment.UWAdj,True
input,cds/modifiers/risk_category/valuation_for_pevc,DB.RiskAssessment.valuationforPEVC,True
input,cds/rationale/additional_info_path,DB.AdditionalInfoPath,True
input,cds/rationale/bpi_comments,DB.BPIComments,True
input,cds/rationale/esg_comments,DB.ESGComments,True
input,cds/rationale/general_comments,DB.GeneralComments,True
input,cds/rationale/other_factors_comments,DB.OtherFactorsComments,True
input,cds/rationale/reason_comments,DB.ReasonComments,True
input,cds/rating_factors/risk_info/crime_coverage_required,DB.RiskInfo.CoverCrime,True
input,cds/rating_factors/risk_info/pi_coverage_required,DB.RiskInfo.CoverPI,True
override,cds/layers/tower_1/coverage,DB.RatingSummary.Coverage.Layer1.Cover1,True
override,cds/layers/tower_2/coverage,DB.RatingSummary.Coverage.Layer1.Cover2,True
